X,Y,NOME_UF,TIPO,DATA_INI_U,DATA_INI_1,ACES,ULS,ARS,COD_POSTAL,COD_POST_1,DES_FREGUE,DES_CONCEL,WGS84_LAT_,WGS84_LONG,field_14,icon_url
-9.08145,38.9817,USF Arruda,USF-A,8/23/2013,8/23/2013,ACES Estu rio do Tejo,,ARS Lisboa e Vale do Tejo,2630-243,Arruda dos Vinhos,Arruda dos Vinhos,Arruda dos Vinhos,38.981699999999996,-9.081450000000000,LISBOA,./0.png
-9.19468,38.7505,USF Gera‡?es,USF-A,2/20/2012,2/20/2012,ACES Lisboa Norte,,ARS Lisboa e Vale do Tejo,1500-244,Lisboa,Benfica,Lisboa,38.750500000000002,-9.194680000000000,LISBOA,./0.png
-9.19022,38.7461,USF Rodrigues Migu‚is,USF-B,12-04-06,06-01-08,ACES Lisboa Norte,,ARS Lisboa e Vale do Tejo,1500-588,Lisboa,Benfica,Lisboa,38.746099999999998,-9.190220000000000,LISBOA,./0.png
-9.19344,38.7608,USF Carnide Quer,USF-B,12/28/2007,10-01-09,ACES Lisboa Norte,,ARS Lisboa e Vale do Tejo,1500-210,Lisboa,Carnide,Lisboa,38.760800000000003,-9.193440000000001,LISBOA,./0.png
-9.19468,38.7505,USF da Luz,USF-B,05-04-09,01-01-12,ACES Lisboa Norte,,ARS Lisboa e Vale do Tejo,1500-244,Lisboa,Benfica,Lisboa,38.750500000000002,-9.194680000000000,LISBOA,./0.png
-9.30391,38.7704,USF S?o Marcos,USF-A,2/27/2009,2/27/2009,ACES Sintra,,ARS Lisboa e Vale do Tejo,2735-654,Cac‚m,Uni?o das freguesias de Agualva e Mira-Sintra,Sintra,38.770400000000002,-9.303910000000000,LISBOA,./0.png
-9.43028,38.8046,USF Mira-Sintra,USF-A,6/29/2009,6/29/2009,ACES Sintra,,ARS Lisboa e Vale do Tejo,2735-417,Mira Sintra,Uni?o das freguesias de Agualva e Mira-Sintra,Sintra,38.804600000000001,-9.430280000000000,LISBOA,./0.png
-9.30855,38.7696,USF Flor de Lotus,USF-A,06-11-13,06-11-13,ACES Sintra,,ARS Lisboa e Vale do Tejo,2735-304,Cac‚m,Uni?o das freguesias do Cac‚m e S?o Marcos,Sintra,38.769599999999997,-9.308550000000000,LISBOA,./0.png
-9.24246,38.7005,USF Dafundo,USF-B,09-11-06,05-01-08,ACES Lisboa Ocidental e Oeiras,,ARS Lisboa e Vale do Tejo,1495-713,Dafundo,"Uni?o das freguesias de Alg‚s, Linda-a-Velha e Cruz Quebrada-Dafundo",Oeiras,38.700499999999998,-9.242459999999999,LISBOA,./0.png
-9.38151,38.6988,USF S?o Jo?o do Estoril,USF-A,11-11-14,11-11-14,ACES Cascais,,ARS Lisboa e Vale do Tejo,2765-618,Estoril,Uni?o das freguesias de Cascais e Estoril,Cascais,38.698799999999999,-9.381510000000000,LISBOA,./0.png
-9.4072,38.7301,USF Alcais,USF-A,6/27/2008,6/27/2008,ACES Cascais,,ARS Lisboa e Vale do Tejo,2645-559,Alcabideche,Alcabideche,Cascais,38.730100000000000,-9.407200000000000,LISBOA,./0.png
-9.38151,38.6988,USF Costa do Estoril,USF-A,7/30/2009,7/30/2009,ACES Cascais,,ARS Lisboa e Vale do Tejo,2765-618,Estoril,Uni?o das freguesias de Cascais e Estoril,Cascais,38.698799999999999,-9.381510000000000,LISBOA,./0.png
